"";"Var1";"Var2";"Var3";"Freq"
"4051";"Con heridos";"Atropello";"Kennedy";213
"5283";"Solo daños";"Choque";"Manrique Central No. 2";213
"2233";"Con heridos";"Atropello";"Belén";212
"7173";"Solo daños";"Choque";"Tejelo";212
"2293";"Con heridos";"Choque";"Berlin";210
"6196";"Con heridos";"Caida de Ocupante";"San Benito";210
"2128";"Con heridos";"Caida de Ocupante";"Barrio Colón";209
"2671";"Con heridos";"Choque";"Campo Alegre";209
"3211";"Con heridos";"Choque";"El Diamante";209
"1953";"Solo daños";"Choque";"Astorga";208
"6142";"Con heridos";"Caida de Ocupante";"Robledo";208
"2527";"Con heridos";"Choque";"Brasilia";207
"3339";"Solo daños";"Choque";"El Pinal";207
"5980";"Con heridos";"Caida de Ocupante";"Picacho";207
"6133";"Con heridos";"Otro";"Prado";207
"6151";"Con heridos";"Otro";"Robledo";207
"2943";"Solo daños";"Choque";"Córdoba";206
"1627";"Con heridos";"Choque";"Altamira";203
"1879";"Con heridos";"Choque";"Asomadera No. 1";203
"2601";"Solo daños";"Choque";"Cabecera Urbana San Cristobal";203
"2221";"Con heridos";"Choque";"Belalcázar";202
"6289";"Con heridos";"Choque";"San Javier No.1";201
"7171";"Con heridos";"Choque";"Tejelo";201
"5149";"Con heridos";"Atropello";"Los Colores";200
"1849";"Con heridos";"Otro";"Área de Expansión Pajarito";199
"3789";"Solo daños";"Choque";"Francisco Antonio Zea";199
"3919";"Con heridos";"Otro";"Guayaquil";199
"5067";"Solo daños";"Choque";"Los Alpes";199
"5985";"Solo daños";"Choque";"Picacho";199
"3001";"Con heridos";"Otro";"Cucaracho";198
"5941";"Con heridos";"Atropello";"Perpetuo Socorro";198
"4579";"Con heridos";"Choque";"La Pilarica";197
"3406";"Con heridos";"Caida de Ocupante";"El Progreso";196
"6232";"Con heridos";"Caida de Ocupante";"San Diego";196
"6793";"Con heridos";"Choque";"Simón Bolívar";195
"2992";"Con heridos";"Caida de Ocupante";"Cucaracho";194
"4999";"Con heridos";"Otro";"López de Mesa";194
"6613";"Con heridos";"Choque";"Santa María de los Ángeles";194
"13";"Con heridos";"Otro";"0";193
"3127";"Con heridos";"Otro";"El Chagualo";193
"3469";"Con heridos";"Otro";"El Rincón";193
"3645";"Solo daños";"Choque";"Enciso";193
"4273";"Con heridos";"Choque";"La Florida";193
"5049";"Solo daños";"Choque";"Los Alcázares";193
"1615";"Con heridos";"Otro";"Alfonso López";192
"2673";"Solo daños";"Choque";"Campo Alegre";192
"3115";"Con heridos";"Atropello";"El Chagualo";192
"2755";"Con heridos";"Atropello";"Caribe";190
"6715";"Con heridos";"Atropello";"Santo Domingo Savio No. 1";190
"4099";"Con heridos";"Otro";"La Alpujarra";189
"2497";"Con heridos";"Otro";"Boston";187
"3676";"Con heridos";"Caida de Ocupante";"Facultad de Minas U. Nacional";187
"2287";"Con heridos";"Atropello";"Berlin";186
"2727";"Solo daños";"Choque";"Campo Valdés No. 2";186
"5887";"Con heridos";"Atropello";"Pedregal";186
"1606";"Con heridos";"Caida de Ocupante";"Alfonso López";185
"2713";"Con heridos";"Otro";"Campo Valdés No. 1";184
"4801";"Con heridos";"Otro";"Las Granjas";184
"6435";"Solo daños";"Choque";"San Martín de Porres";184
"4747";"Con heridos";"Otro";"Las Brisas";182
"5805";"Solo daños";"Choque";"Palermo";182
"7375";"Con heridos";"Otro";"Universidad Nacional";182
"3910";"Con heridos";"Caida de Ocupante";"Guayaquil";181
"3997";"Con heridos";"Atropello";"Jesús Nazareno";181
"6121";"Con heridos";"Atropello";"Prado";181
"4903";"Con heridos";"Choque";"Las Playas";180
"6561";"Solo daños";"Choque";"Santa Inés";179
"4057";"Con heridos";"Choque";"Kennedy";178
